Year,Week,Home Team,Home Player,Home Player Points,Position,Away Player Points,Away Player,Away Team
2019,2,Ethan,Derrick Henry,17.4,RB1,25.0,Aaron Jones Sr.,Michael
2019,2,Ethan,Devonta Freeman,9.4,RB2,19.8,Nick Chubb,Michael
2019,2,Ethan,Brandin Cooks,16.6,WR1,17.6,Davante Adams,Michael
2019,2,Ethan,JuJu Smith-Schuster,13.4,WR2,9.2,Julian Edelman,Michael
2019,2,Ethan,Delanie Walker,7.9,TE,0.0,O.J. Howard,Michael
2019,2,Ethan,John Brown,14.2,FLEX,26.1,Chris Godwin Jr.,Michael
2019,2,Ethan,Jaguars D/ST,9.0,D/ST,6.0,Vikings D/ST,Michael
2019,2,Ethan,Jake Elliott,7.0,K,4.0,Harrison Butker,Michael
2019,2,Klapp,Russell Wilson,24.2,QB,19.12,Jared Goff,Zach
2019,2,Klapp,Todd Gurley II,15.7,RB1,13.5,James Conner,Zach
2019,2,Klapp,Marlon Mack,8.3,RB2,9.7,Mark Ingram II,Zach
2019,2,Klapp,Robbie Chosen,12.1,WR1,28.1,Odell Beckham Jr.,Zach
2019,2,Klapp,Stefon Diggs,9.9,WR2,0.0,DeSean Jackson,Zach
2019,2,Klapp,George Kittle,8.4,TE,0.0,Jimmy Graham,Zach
2019,2,Klapp,Devin Singletary,11.7,FLEX,11.9,James White,Zach
2019,2,Klapp,Bears D/ST,4.0,D/ST,7.0,49ers D/ST,Zach
2019,2,Klapp,Wil Lutz,12.0,K,10.0,Robbie Gould,Zach
2019,2,McGwire,Deshaun Watson,12.86,QB,31.62,Patrick Mahomes,Justin
2019,2,McGwire,Saquon Barkley,22.5,RB1,12.3,Sony Michel,Justin
2019,2,McGwire,Leonard Fournette,12.7,RB2,7.3,Christian McCaffrey,Justin
2019,2,McGwire,Hollywood Brown,16.6,WR1,24.5,Calvin Ridley,Justin
2019,2,McGwire,Adam Thielen,12.5,WR2,14.3,T.Y. Hilton,Justin
2019,2,McGwire,T.J. Hockenson,1.7,TE,0.0,David Njoku,Justin
2019,2,McGwire,Danny Amendola,0.0,FLEX,21.2,John Ross,Justin
2019,2,McGwire,Bills D/ST,5.0,D/ST,7.0,Chargers D/ST,Justin
2019,2,McGwire,Justin Tucker,13.0,K,9.0,Greg Zuerlein,Justin
2019,2,Nathan,Carson Wentz,17.54,QB,24.66,Tom Brady,Andrew
